,importance
id,784.0389875578285
totalPitchingCount,1304.1169454318094
B,906.1317078580627
S,1794.0485610408698
O,269.6310966837116
b1,175.5647989437745
b2,131.26551027457967
b3,76.91609454793652
pitcher,4017.2360185706616
pitcherHand,75.6805925104754
batter,4899.233608525396
batterHand,111.215578951155
gameID,507.5917106398342
inning,857.8138739466667
